Id,Label
n1987,Factor (2)
n1992,Sal Parm
n1993,DJ Skribble
n1994,Born Allah
n1995,Melo-D
n2001,Eclipse 427
n2004,KMSM
n2009,The Un (2)
n2010,Savage (2)
n2011,Aaradhna
n2015,Eko Fresh
n2016,Nikki D
n2017,Paula Perry
n2018,Precious Paris
n2019,Dean Dawson
n2023,Spark 950
n2024,Timbo King
n2029,Sido
n2030,G-Hot
n2031,Conspicuous
n2036,AZ
n2037,The Pacifics
n2038,Rappers Against Racism
n2039,La Mazz
n2040,Scream Factory
n2044,Nelly Furtado
n2059,Bounty Killer
n2060,Mass Influence
n2063,3rd Wish
n2064,Baby Bash
n2065,Pack FM
n2070,George Nooks
n2071,Lupa (3)
n2072,DJ Life
n2073,Licensed To Kill
n2074,Janet Jackson
n2075,Joni Mitchell
n2076,Tyme
n2079,No Good But So Good
n2082,Raphael Saadiq
n2092,C-Rayz Walz
n2093,Plain Pat
n2095,Madd Hatta
n2096,Mista Madd
n2097,Lupe Fiasco
n2098,Jill Scott
n2101,Blue Sky Black Death
n2102,Holocaust (3)
n2106,Maceo Parker
n2107,Fred Wesley
n2108,5th Ward Boyz
n2109,MC Boob
n2110,Zion I
n2111,The Grouch
n2116,Thes One
n2117,Double K (2)
n2118,Sérgio Mendes
n2119,Black Eyed Peas
n2120,Declaime
n2121,Mad Men
n2122,G-Unit
n2123,The Liquid Crystal Project
n2124,Eightball & M.J.G.
n2127,Styrofoam
n2131,Gilles Peterson
n2132,Patrick Forge
n2135,Havoc & Prodeje
n2139,J-Live
n2140,Wordsworth
n2141,Soulive
n2146,Koolade
n2147,Skillz
n2148,Little Brother (3)
n2162,Keith Murray
n2168,The Living Vibe
n2171,Dug Infinite
n2174,Def Bond
n2175,K-Reen
n2176,DJ Z-Trip
n2177,DJ P (2)
n2194,Ebon-E
n2195,Deckwrecka
n2196,MCD
n2197,Serocee
n2198,Seanie T.
n2199,Pesci
n2207,Adam Levine
n2208,Legend (4)
n2209,Kama Kazi
n2210,Resin Dogs
n2211,Abstract Rude
n2221,Prodigy
n2222,Kam (2)
n2228,Pal One
n2229,Roey Marquis II
n2230,Stepchild
n2235,Radar (2)
n2238,Poppa Ron Love
n2239,Russell Rush
n2247,DJ Chestnut
n2248,Sékou
n2251,Freeman (3)
n2252,K-Rhyme Le Roi
n2253,Sandra Nasic
n2254,Trigger Tha Gambler
n2255,M.C. Joe
n2256,Cut Master M.C.
n2257,Shades (2)
n2258,Dru Down
n2259,Luniz
n2260,Justin Timberlake
n2261,Main Source
n2262,The Island Inspirational All-Stars
n2263,Sarah Connor
n2264,Cee-Lo
n2268,Eißfeldt
n2273,Frankie Cutlass
n2276,Black Thought
n2277,Dice Raw
n2278,Flo Brown
n2279,Jazzyfatnastees
n2282,Akon
n2293,Theo Schwarz
n2294,Busy
n2295,Tropf
n2296,Trae
n2297,Dougie D (2)
n2298,Guerilla Maab
n2302,Jennifer Lopez
n2303,Bob Marley
n2304,T.W.D.Y.
n2305,Daddy Lord C
n2306,La Cliqua
n2307,Party Arty
n2308,Stockbridge
n2309,Ahmad (2)
n2314,Sargent Tucker
n2315,Panji
n2316,General J.
n2317,The Old Maid Billionaires
n2325,KC Da Rookee
n2332,Yo-Yo
n2345,R.A. The Rugged Man
n2348,Fabe
n2349,Ideosoul
n2350,Sléo
n2355,Disiz La Peste
n2356,Busta Flex
n2362,F/M
n2363,Helen Bruner
n2371,Armand Van Helden
n2372,BL
n2375,Black Rob
n2376,Mark Curry
